pattern,backend,strategy,bound,M,I,L,O,A,size(bytes)
a*,bounded,structural,3,16,7,0,1,9,234
a*,sequential,structural,-,10,2,4,1,4,200
a*,bounded,product,3,16,7,0,1,9,234
a*,sequential,product,-,10,2,4,1,4,200
(ab)*,bounded,structural,6,25,10,0,1,15,333
(ab)*,sequential,structural,-,15,3,6,1,6,266
(ab)*,bounded,product,6,25,10,0,1,15,333
(ab)*,sequential,product,-,15,3,6,1,6,266
(a|b)*,bounded,structural,4,69,13,0,1,56,766
(a|b)*,sequential,structural,-,29,3,8,1,18,406
(a|b)*,bounded,product,4,69,13,0,1,56,766
(a|b)*,sequential,product,-,29,3,8,1,18,406
(a|ba)*,bounded,structural,5,74,15,0,1,59,853
(a|ba)*,sequential,structural,-,33,3,10,1,20,461
(a|ba)*,bounded,product,5,74,15,0,1,59,853
(a|ba)*,sequential,product,-,33,3,10,1,20,461
(a|b)*&a*,bounded,structural,4,84,13,0,1,71,926
(a|b)*&a*,sequential,structural,-,38,3,12,1,23,589
(a|b)*&a*,bounded,product,4,23,9,0,1,14,309
(a|b)*&a*,sequential,product,-,46,2,25,1,19,746
(ab)*&(a|b)*,bounded,structural,6,281,19,0,1,262,3092
(ab)*&(a|b)*,sequential,structural,-,42,3,14,1,25,659
(ab)*&(a|b)*,bounded,product,6,25,10,0,1,15,333
(ab)*&(a|b)*,sequential,product,-,71,3,37,1,31,1149
a*&b*,bounded,structural,4,42,13,0,1,29,506
a*&b*,sequential,structural,-,20,3,8,1,9,372
a*&b*,bounded,product,4,1,1,0,1,0,70
a*&b*,sequential,product,-,11,1,9,1,1,253
"a{1,3}",bounded,structural,3,16,6,0,1,10,228
"a{1,3}",sequential,structural,-,44,2,14,1,28,589
"a{1,3}",bounded,product,3,16,6,0,1,10,228
"a{1,3}",sequential,product,-,44,2,14,1,28,589
"[ab]{2,}",bounded,structural,4,63,11,0,1,52,688
"[ab]{2,}",sequential,structural,-,79,3,20,1,56,1031
"[ab]{2,}",bounded,product,4,63,11,0,1,52,688
"[ab]{2,}",sequential,product,-,79,3,20,1,56,1031
