pattern,bound,word,expected,bounded_structural,bounded_product,sequential_structural,sequential_product,status
a*,3,ε,True,True,True,True,True,OK
a*,3,a,True,True,True,True,True,OK
a*,3,aa,True,True,True,True,True,OK
a*,3,aaa,True,True,True,True,True,OK
(ab)*,6,ε,True,True,True,True,True,OK
(ab)*,6,a,False,False,False,False,False,OK
(ab)*,6,b,False,False,False,False,False,OK
(ab)*,6,aa,False,False,False,False,False,OK
(ab)*,6,ab,True,True,True,True,True,OK
(ab)*,6,ba,False,False,False,False,False,OK
(ab)*,6,bb,False,False,False,False,False,OK
(ab)*,6,aaa,False,False,False,False,False,OK
(ab)*,6,aab,False,False,False,False,False,OK
(ab)*,6,aba,False,False,False,False,False,OK
(ab)*,6,abb,False,False,False,False,False,OK
(ab)*,6,baa,False,False,False,False,False,OK
(ab)*,6,bab,False,False,False,False,False,OK
(ab)*,6,bba,False,False,False,False,False,OK
(ab)*,6,bbb,False,False,False,False,False,OK
(ab)*,6,aaaa,False,False,False,False,False,OK
(ab)*,6,aaab,False,False,False,False,False,OK
(ab)*,6,aaba,False,False,False,False,False,OK
(ab)*,6,aabb,False,False,False,False,False,OK
(ab)*,6,abaa,False,False,False,False,False,OK
(ab)*,6,abab,True,True,True,True,True,OK
(ab)*,6,abba,False,False,False,False,False,OK
(ab)*,6,abbb,False,False,False,False,False,OK
(ab)*,6,baaa,False,False,False,False,False,OK
(ab)*,6,baab,False,False,False,False,False,OK
(ab)*,6,baba,False,False,False,False,False,OK
(ab)*,6,babb,False,False,False,False,False,OK
(ab)*,6,bbaa,False,False,False,False,False,OK
(ab)*,6,bbab,False,False,False,False,False,OK
(ab)*,6,bbba,False,False,False,False,False,OK
(ab)*,6,bbbb,False,False,False,False,False,OK
(ab)*,6,aaaaa,False,False,False,False,False,OK
(ab)*,6,aaaab,False,False,False,False,False,OK
(ab)*,6,aaaba,False,False,False,False,False,OK
(ab)*,6,aaabb,False,False,False,False,False,OK
(ab)*,6,aabaa,False,False,False,False,False,OK
(ab)*,6,aabab,False,False,False,False,False,OK
(ab)*,6,aabba,False,False,False,False,False,OK
(ab)*,6,aabbb,False,False,False,False,False,OK
(ab)*,6,abaaa,False,False,False,False,False,OK
(ab)*,6,abaab,False,False,False,False,False,OK
(ab)*,6,ababa,False,False,False,False,False,OK
